newscontents,label
The contract covers turnkey deliveries to all five airports operated by the authority John F Kennedy LaGuardia Newark Teterboro and Stewart International .,0
Scanfil expects net sales in 2008 to remain at the 2007 level .,0
Israeli cable network operator HOT Telecom has chosen Teleste an international technology group as its exclusive provider of FTTx equipment in Israel according to Teleste today .,1
CapMan Plc Press Release 31 March 2008 Jukka Ruuska President of the OMX Nordic Exchanges and the Stockholm Stock Exchange will transfer to CapMan effective no later than September 2008 .,0
The transaction covers a building lot of 46763 sq m and factory buildings of 19631 sq m. Since the autumn of 2007 when Scanfil discontinued its production operations in Oulu the facilities have been partly leased to other parties .,0
8600 m and at the time of investment it is fully leased to several tenants .,0
After piloting the instrument will be further developed according to the experiences gained .,0
Net sales for the financial year 2006 are expected to amount to about EUR20m and the operating result EBIT is expected to be a loss as announced before .,-1
16 February 2011 Finnish industrial machinery company Metso Oyj HEL MEO1V said today it will deliver minerals processing equipment and basic engineering to Canadian miner Northland Resources OSL NAUR TSE NAU .,1
The company said shareholders will be able to vote on the agreement at an EGM scheduled for later this month .,0
Shareholders of Rakvere Lihakombinaat decided in favor of the buyout of minority shares in mid July .,1
Technopolis said before the protocol was signed that the techno park would be built at a site covering more than six hectares in the Neudorf special economic zone and that it planned to invest 200 million euros in the project until 2009 inclusive .,0
Why put up costly cell phone towers in thinly populated areas when a few balloons would do ,0
HELSINKI AFX Outokumpu said its technology unit has won a 28 mln eur contract from Bosnia Herzegovina Aluminij dd Mostar to upgrade an anode plant .,1
Telecom has a foreign investment limit of 74 % but it appears that mobile VAS does not which means that Tecnomen can pick up as much as 96.6 % .,0
The fair value of CapMan Plc own investments on 30 September 2008 amounted to MEUR 59.8 .,0
 We have tailored our solutions to meet Solel technical requirements and the result is both cost effective manufacturing and highest quality reflectors . ,1
The net sales of Healthcare Trade business in 2009 were EUR 145.1 million EUR 155.2 million and operating profit EUR 8.9 million EUR 7.9 million .,0
The insurance division turned a EUR120m profit .,0
One of the headboxes will be equipped with a modern consistency control system to ensure cross machine profile of the plasterboard .,0
Even so Tulikivi emissions are well below some of the strictest state standards including Washington and Colorado .,0
The currency effect had a 3.0 pct or 20 mln euro $ 31.3 mln negative impact on the revenue .,-1
This solution is an extension to the existing online mediation solution delivered earlier by Comptel and IBM .,0
Operating profit was EUR 11.07 mn up from EUR 8.65 mn .,1
Travel expenses would be reimbursed in accordance with the travel policy of the company .,0
The order consists of capacity expansion maintenance services and new charging functionality the company said .,0
Managing Director comments Net sales for the first quarter were notably lower than a year before especially in Finland Russia and the Baltic countries .,-1
At 12.01 pm the OMX Helsinki 25 was down 0.66 pct to 3143.57 and the OMX Helsinki was 0.67 pct lower at 10530.74 on 253 mln eur turnover .,-1
The corrected chapter is in its entirety below .,0
The transaction was announced on September 29 when Pohjola Insurance agreed to pay EUR 80 million USD 106.3 m in cash for Pohjantahti .,0
The value of the confirmed aircraft orders totals EUR 2bn .,0
Bids or offers include at least 1000 shares and the value of the shares must correspond to at least EUR4 000 .,0
Odell has not contacted the State of Finland in this issue .,0
The equipment will expand container handling capacity at Namibia main port of Walvis Bay on the west coast .,1
Finnish plastic pipe maker Uponor is selling its Irish and UK infrastructure businesses to private equity company 3i .,0
EMSA Deputy Chairman of the Board Juri Lember told BNS on Wednesday that this was the first time he heard about the strike as the Swedish side had not informed the Estonian union yet .,-1
 Small well targeted acquisitions have played an important role in executing Satama strategy in the past couple of years .,0
From Merisatama to the far corners of the world Asfaltti Osakeyhti+ Lemmink+inen was established in 1910 by a group of master builders in Helsinki as a specialist business and subcontractor .,0
The agreement with JM is one in a series of contracts that TeliaSonera has signed in recent months with residential construction and real estate management companies in Sweden .,0
Belarus OAO Lidskoe Pivo brewery based in the Grodno Region reported a 1.1 % decrease in output to 1.045 million decaliters in January March 2010 a representative in the administration of the company told .,-1
As of July 2 2007 the market cap segments will be updated according to the average price in May 2007 .,0
Operating profit excluding non recurring items amounted to EUR 40.6 mn down from EUR 57.3 mn year on year .,-1
Sales came in at 241 mln eur compared with 211.4 mln and also beating consensus forecasts of 235 mln eur .,1
The wireless industry is bracing itself for the iPhone which will launch on June 29 .,0
Under the agreement Ponsse will provide forest machine maintenance services to Stora Enso Russian wood procurement operations .,0
Sponda is a property investment company specialising in commercial properties in the largest cities in Finland and Russia .,0
On the basis of competitive bidding OOO Kitai Stroi the Russian subsidiary of China State Construction Engineering Corporation a construction company owned by China State has been selected as the main constructor .,0
 We are proud to contribute to the creation of a world class airport facility with KONE innovative People Flow TM solutions .,1
pct lower at 4442.10 .,0
In Finland Sampo Bank now part of the Danske Bank group will lay off staff from the administrative and support functions .,-1
 We are delighted to announce our support for Intel based handheld platforms the capabilities of which have made our development easier and faster .,1
The reorganisation will be carried out by transferring HKScan Corporation production related property plant and equipment in Finland as well as its holdings in subsidiaries and associates to HKScan Finland Oy a holding company wholly owned by HKScan Corporation .,0
Elisa has commissioned Finland Poyry Telecom Oy to conduct a study of reception in some of Estonia largest cities besides Tallinn .,0
Rautalinko was resposnible also for Mobility Services and his job in this division will be continued by Marek Hintze .,0
Solidium now holds 5.0 per cent of the shares Solidium Oy has acquired 5.0 per cent of the shares in Tieto Corporation for approximately EUR 58 million .,0
China Unicom NYSE CHU HKSE 0762 and SHSE 600050 the second largest mobile carrier in the country .,0
Diluted earnings per share EPS rose to EUR 1.05 from EUR 0.64 .,1
The 2015 target for net sales has been set at EUR 1bn and the target for return on investment at over 20 % .,1
15 November 2010 Finnish energy company Fortum Oyj HEL FUM1V said today it and partners started negotiations to establish a new operating model for energy supply in the Turku region of western Finland .,0
 Beyond the improved voice capabilities customers now have a streamlined way to comply with recalls and other traceability requirements providing them with a competitive advantage .,1
However the net sales declined to EUR 803.6 million from EUR 1.2 billion .,-1
According to the company updated strategy for the years 2009 2012 Basware targets a long term net sales growth in the range of 20 % 40 % with an operating profit margin of 10 % 20 % of net sales .,1
Also in Latvia we act as a partner for bakery customers in both production and product development .,0
Established in 1987 the SRV Group is a private Finnish construction concern with operations in Finland the Baltic countries and Russia .,0
The 10000 odd square metre plot that Stockmann has bought for the Nevsky Center shopping center is located on Nevsky Prospect St Petersburg high street next to the Vosstaniya Square underground station in the immediate vicinity of Moscow Station .,0
However the total orders received will still be above last year s levels .,1
The proposal by the Board of Directors on the issuance of option rights will otherwise correspond to the proposal by the Board of Directors in the Notice to the General Meeting .,0
The impact of this acquisition to Teleste net sales for 2010 is estimated to be approximately EUR 2 million .,0
Stora Enso owns 43 percent of Bergvik and earns therefore SEK 1.5 bn on the value appreciation .,1
Rautaruukki Corporation Stock exchange release 3 December 2009 at 12 noon Ruukki construction and engineering divisions are to further improve and adjust their operations in Finland .,1
Janis Arbidans CEO of YIT Celtnieciba said the company was focusing on housing and real estate development market .,0
The company also said that it will sell approximately 150 hectares of land to the city of Valkeakoski by the end of the year a part of its From job to job program .,0
KONE headquartered in Espoo Finland is one of the world leading elevator and escalator companies .,0
Profit before taxes decreased to EUR 31.6 mn from EUR 50.0 mn the year before .,-1
Patrick Jeambar will also continue being responsible for Innovation and Health safety and environment HSEA functions of Ahlstrom Corporation .,0
RISING costs have forced packaging producer Huhtamaki to axe 90 jobs at its Hampshire manufacturing plant .,-1
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,-1
Thanks to the development of a system that enables it to trace the origin of all the palm oil that it uses it knows exactly where and how its palm oil has been produced .,0
Incap Contract Manufacturing Services Pvt Ltd a subsidiary of Incap Corporation of Finland is acquiring the manufacturing unit of the TVS Electronic Ltd at Tumkur near Bangalore for Rs40 crore .,0
 I m pleased to receive the Nomination Committee request and confidence says Jon Risfelt .,1
At the request of Finnish media company Alma Media newspapers research manager Jari Kaivo oja at the Finland Futures Research Centre at the Turku School of Economics has drawn up a future scenario for Finland national economy by using a model developed by the University of Denver .,0
mn and pretax profit to EUR 46.4 mn from EUR 35.8 mn in the third quarter of 2006 .,1
Vanhanen said the strike would be extremely damaging as some 1300 participants and reporters begin to arrive in Finland for the one day EU summit with Russian President Vladimir Putin in Lahti about 100 kilometers 60 miles north of Helsinki .,-1
EPS for the quarter came in at 0.36 eur up from 0.33 eur a year ago and ahead of forecast of 0.33 eur .,1
The buy recommendation was reiterated .,1
The international electronic industry company Elcoteq has laid off tens of employees from its Tallinn facility ; contrary to earlier layoffs the company contracted the ranks of its office workers the daily Postimees reported .,-1
 With this new version it is very important for us to introduce a BIM process that is based on the detailed building information model .,0
Operating profit totalled EUR 9.6 mn down from EUR 42.0 mn the year before .,-1
Gunneflo will be responsible of Oriola KD Pharmaceutical Trade business in Sweden .,0
A total of $ 78 million will be invested in the project .,0
The Innova 2 building will be located close to downtown in the immediate vicinity of Paviljonki and the travel center and within walking distance from the heart of the city thanks to the trade fair bridge .,0
Finnish GeoSentric a developer and provider of solutions products and technologies for location based services has preliminary agreed on a EUR 6mn short term funding with its leading investor .,1
The company will use the money for product development and research activities through 2013 in its key markets Finland Germany Italy and France .,0
The new system which will include 60 MC3090 PDAs from Motorola to be used by 60 Poundstretcher operatives across 3 shifts will integrate in real time with the company s existing Warehouse Management System Aldata G.O.L.D Stock which went live in May 2008 .,0
Finnish Suominen Flexible Packaging is cutting 48 jobs in its unit in Tampere and two in Nastola in Finland .,-1
Investments span across various product and investment types including retail hospitality office and residential with interests in real estate portfolios non performing loans and corporate restructurings .,0
Vaisala Oyj Stock exchange release 26.03.2010 klo 09.00 1 1 The Annual General Meeting of Vaisala Oyj decided on March 25 2010 to approve the Company annual accounts for 2009 .,0
So far as is known he did not sell shares that he owns personally .,0
Incap Contract Manufacturing Services Pvt Ltd a subsidiary of Incap Corporation of Finland plans to double its revenues by 2007 2008 .,1
Diluted earnings per share EPS fell to EUR 0.63 from EUR 1.71 .,-1
CORPORATE IT UPDATE C 1995 2009 M2 COMMUNICATIONS LTD Finnish technology group Teleste Corporation OMX Helsinki TLT1V reported on Wednesday 4 February an operating profit of EUR5 .6 m on net sales of EUR108 .7 m for the year 2008 .,0
The corresponding increase in the share capital due to these subscriptions with the warrants in total EUR 1860.74 was registered with the Finnish Trade Register on January 4 2008 .,0
The development of the technological park which will specialize in telecommunications and information technologies is part of the state program for the formation of technoparks for hi tech sectors in Russia .,0
The Annual General Meeting approved a dividend of EUR 0.10 per share that is a total of EUR 78 million .,0
The negotiations concern 246 salaried and senior salaried employees and are scheduled to be completed in six weeks .,0
Elite Residence Tower a new development by Tameer is located at the heart of Dubai Marina .,0
Operating result excluding one off items totaled EUR 9.1 mn compared to EUR 10.6 mn in continuing operations excluding one off items in 2004 .,-1
RusHydro has an agreement to transfer its stakes in OESK and the five ERCs into the trust management of Inter RAO .,0
Pharmaceutical market in Italy Global Research & Data Services published recently a market analysis about the pharmaceutical markets in Italy .,0
Swedish Finnish and Danish listed companies are organized in three market cap segments Nordic Large Cap Mid Cap and Small Cap .,0
Aspo Group structure and business operations are developed persistently without any predefined schedules .,0
Revenue grew by 2 percent to x20ac 580 million $ 743 million from x20ac 569 million .,1
The Network Test Business is part of Elektrobit Test and Automation Business Segment and employs 39 people in Finland and 22 people abroad mainly in the US and Asia .,0
Marimekko makes all sorts of colorful little impulse buys umbrellas baby bibs change purses and they re all for sale the better to take advantage of shoppers who ca nt commit to furniture but want a piece of the action .,0
Unit costs for flight operations fell by 6.4 percent .,1
The total investment in the Vantaa plant extension will amount to around 10 million euro and Okmetic share of the investments will be worth around 2.7 million .,0
Nastola axe 14 jobs 16 February 2010 Finnish wood products technology firm Raute Oyj HEL RUTAV said today that it will transfer to Nastola southern Finland the production of its Jyvaskyla plant which will affect 14 people .,0
 Marimekko aims to expand its distribution network primarily by increasing the number of concept stores and shop in shops .,0
Cargotec share capital after the increase totals EUR 64299180 .,0
The impact on TietoEnator net sales for 2008 from the purchase is expected to be some 11 mln euro $ 15.9 mln .,0
In 2007 almost two thirds of Orion net sales came from these drugs .,0
The front surfaces of these valve plates are directed towards each other .,0
The contract also includes cutting and edging wagon parts at Ruukki steel service centres in Seinajoki and Raahe from where they will be delivered to VR for welding and assembly .,0
Nordea Bank AB publ holds 6.000 Alma Media shares representing 0.008 % of share capital and voting rights .,0
The period end cash and cash equivalents totaled EUR6 .5 m compared to EUR10 .5 m in the previous year .,-1
With sales of $ 12.7 billion over the last twelve months ending October 2010 and over 9200 stores in 35 states Dollar General is the nation largest small box discount retailer .,0
The change in holdings in accordance with Chapter 2 Section 9 of the Finnish Securities Markets Act is described below .,0
Finnish Rautaruukki is selling its precision tube and automotive component processing unit Carl Froh in Germany to German Arques Industries .,0
CS Cabot main consumers on the Czech and Slovak market are tires producers Barum Continental and Matador Continental .,0
For 2009 Incap expects revenue of some EUR 70 million .,0
The world of glass is coming to Egypt and we invite Visitors from all around the world to attend Glass World Exhibition 2009 Register Now at ,0
The reason for this is St. Petersburg status as a capital one of the participants in the meeting quoted Chikunov as saying .,0
These include software development for internet and mobile telephone content communications value added software financial services security applications systems integration and electronics EBRD informed .,0
The sale will allow Campofrio to focus on its recently announced takeover of Groupe Smithfield Holdings the European unit of Smithfield Foods Inc. SFD of the U.S.,0
The device can also be used for theft protection and positioning of vehicles boats and other assets .,0
The company plans to close two of the three lines at the plant where some 450 jobs are under threat .,-1
Unlisted British Biologicals makes B and D proteins and other disease specific supplements that cover diabetes hepatitis asthma and other cardiovascular ailments .,0
Ahlstrom 5700 employees serve customers via sales offices and production facilities in more than 20 countries on six continents .,0
The solvency capital ratio of both companies was 2.7 times the solvency limit .,0
Rohwedder Group is an automotive supplies telecommunications and electronics industry provider for customers in Europe North America and Asia .,0
Total value of the contract is about EUR 10mn .,0
For Telenor the three and a half year contract is worth an estimated 12.6 m. YIT has chosen Telenor and Elisa as its principal suppliers of ICT solutions in Norway Sweden Denmark and Finland .,1
In the fourth quarter of 2006 OKO Banks expects the operating environment for Banking and Investment Services to remain similar to that in January September 2006 .,0
The financial impact is estimated to be an annual improvement of EUR2 .0 m in the division results as of fiscal year 2008 .,1
The cost of the deal could range from 70 million to 90 million euros depending on the financial results of the two companies in 2008 the statement says .,0
For the last quarter of 2010 Componenta net sales doubled to EUR131m from EUR76m for the same period a year earlier while it moved to a zero pre tax profit from a pre tax loss of EUR7m .,1
In accordance with our strategy we strengthened our local presence by establishing a representative office in South Africa in October .,1
F Secure a developer of security solutions as a service through Internet Service Providers and mobile operators announced results from its annual Online Wellbeing Survey .,0
Based on the first quarter result existing order backlog and new order prospects the company expects that full year sales will contract by 25 % from 2008 the gross margin will stay at a healthy level and the operating profit margin will be lower than in 2008 due to lower sales volume .,-1
Finnish silicon wafers manufacturer Okmetic Oyj said it swung to a net profit of 4.9 mln euro $ 6.3 mln in the first nine months of 2006 from a net loss of 1.8 mln euro $ 2.3 mln a year earlier .,1
Under the agreement Japrotek will deliver nine storage tanks in the volume range of 1000 cu m to 3000 cu m with included agitators .,0
The segments through which the company operates are Frozen Food business Seafoods Vegetable Oil business Grain Trading and Other business operations .,0
Incap Contract Manufacturing is a subsidiary of Incap Corporation of Finland .,0
The studies are expected to start in 2008 .,0
This will be done domestically and in neighboring markets both organically and through acquisitions .,0
The real estate company posted a net loss of + x201a 59.3 million + x201a 0.21 per share compared with a net profit of + x201a 31 million + x201a 0.11 per share for the corresponding quarter of 2007 .,-1
Poyry is recognized as one of the world leading advisors to the global forestry industry .,1
Elcoteq SE is listed on the Nasdaq OMX Helsinki Ltd. .,0
Comparable net sales are expected to increase more than 10 % in 2008 in line with group target .,1
The personnel reduction will be carried out in Anjalankoski Hollola Jyvaskyla Jarvenpaa Karhula Turku and Valkeakoski units .,-1
Earnings per share EPS amounted to a loss of EUR0 .38 .,-1
The robust growth was the result of the inclusion of clothing chain Lindex in the Group in December 2007 .,1
The order is a follow on to an 11 mln euro $ 16.1 mln deal made in July 2007 .,0
Public services will also be available .,0
U.S. based T Corp. is in talks with Scandinavian telecoms company TeliaSonera to sell its stake in Uzbek cellular operator Coscom an executive at Coscom told Interfax .,0
This new deal has strengthened the partnership from Telemig Celular and Tecnomen which it has started since the beginning of Telemig prepaid operations .,1
Passenger volumes rose by 8.4 % in the accounting period .,1
The total delivery volume of paper businesses in 2010 was 1155000 tonnes up from 1132000 tonnes in 2009 .,1
An individual promotion also generated slightly higher than expected revenues .,1
The borrower was happy to do the roadshow and this paid off as the hit ratio from it was high .,1
South America and Asia are other promising markets .,0
Currently 95 % of Trainers House revenues are attributed to the Finnish market .,0
Nurminen Logistics provides high quality logistics services such as railway transports terminal services forwarding special and heavy transports and medical transports .,0
The number of bodily injury cases quadrupled in 2000 2006 .,-1
 The sale of the oxygen measurement business strengthens our goal to focus on our chosen market segments .,0
The product range includes marinated olives cold cuts and pates for example .,0
It is also 7.7 pct above the 12 month volume weighted average price of the stock .,1
It finger friendly and to my opinion really fast .,0
One of Uponor promising future products is a hydronic cooling system .,1
He wore a black beanie type cap and a black jacket .,0
Operating profit totaled EUR 3.8 mn down from EUR 4.5 mn in the corresponding period in 2005 .,-1
Kemira R&D organization comprises approximately 750 people the company said .,0
Exel Composites long term growth prospects remain favourable however .,1
The issuer is solely responsible for the content of this announcement .,0
STUK today is a full service house expert in radiation and nuclear safety issues .,0
In the survey Goodyear is the third most valued tyre brand followed by Continental and Bridgestone .,0
Also Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg the St. Petersburg government said in February .,0
The latest result included per share charges of 5 cents for stock compensation 1 cent for research and development and 1 cent for strategic investments .,0
Our customers come from the following countries UK USA Spain France Italy Germany China Hong Kong Sweden Norway Netherlands Austria Belgium Switzerland Czech Republic Finland Canada Russia Ukraine Denmark Ireland South Korea and Liechtenstein .,0
In 2005 the bank posted a net profit of Lt 8.2 mn .,0
A comprehensive range of cut to length and slitting services will allow Ruukki in particular to serve light engineering customers who relocate their production to the St. Petersburg area .,0
Altogether Finnair has canceled over 500 flights because of the strike .,-1
A total of 15000 new Citycon shares with a nominal value of EUR 1.35 per share were subscribed between 17 and 23 March 2006 exercising the A B C options based on the company stock option plan 1999 .,0
The Annual General Meeting approved that the yearly remuneration for the members of the Board of Directors shall remain at EUR 40.000 for the Chairman of the Board EUR 30.000 for the Deputy Chairman of the Board and EUR 20.000 for other members of the Board .,0
Also Chile is an important market area for forest machine companies .,0
All the ferries had run into trouble just outside the Stockholm archipelago made up of more than 20000 islands .,-1
Copper lead and nickel also dropped . HBOS HBOS plummeted 20 % to 70.3 pence after saying this year+ ,-1
 We are very pleased to be working with Fujitsu and NTT DoCoMo to advance the progress of LTE said Juergen Walter Head of Converged Core Nokia Siemens Networks .,1
Protalix is developing genetically engineered proteins from plant cells .,0
Founded in 1649 Fiskars has over 360 years of product quality excellence and is Finland oldest company .,0
The hull of the vessel was built one block at a time and Ruukki delivered the plate material for each block as construction progressed .,0
The company does not disclose the sum it applied for .,0
TeliaSonera s subsidiary the mobile operator EMT in Estonia has created a world s first mobile identification service which makes it possible to vote via a mobile phone .,0
In this way the industry starting point has been the consumers needs .,0
The shares subscribed for under the stock options were registered in the Trade Register on 20 January 2011 as of which date the new shares will establish shareholder rights .,0
The shopping center to be opened in St. Petersburg Russia in November 2010 will turn the cash flow of Finnish department store chain Stockmann Russian operations positive for the first time in 2011 .,1
Previously the plant was expected to be completed by the end of 2008 .,0
Luxembourg registered investment fund Amber Trust II has won the final approval of Lithuania Competition Council to acquire 29.6 percent of Sanitas the country largest pharmaceutical producer .,1
have notified that as a result of the Company issuing 14432000 new shares in the directed offering the joint holdings of Pequot has decreased below 1 10 to 9.63 % of total number of shares and votes in the Company .,-1
 This is a repeat order to follow successfully installed 159 elevators in the same Delhi metro system Kone spokeswoman told Thomson Financial News .,1
The solid fuel is heated before sludge is mixed therein . ,0
 The considerably weaker U.S. dollar and British pound had an impact on sales and average prices in euros UPM said .,-1
Sales at the Tiimari business went down by 8 % to EUR 11.8 million while Gallerix stores saw 29 % growth to EUR 2 million .,-1
hybrid bond 18 January 2010 Finnish IT consultancy Trainers House Oyj HEL TRH1V said last Friday it resolved to issue a EUR5m hybrid bond to domestic investors in a bid to strengthen its capital structure .,0
The costs of the new ropax vessels are 30 % lower than those of the present ones .,1
A CUT ABOVE Bring the outdoors in with these birch branch coasters .,0
Pretax profit rose to EUR 17.8 mn from EUR 14.9 mn in 2005 .,1
The Stockmann department store will have a total floor space of over 8000 square metres and Stockmann investment in the project will have a price tag of about EUR 12 million .,0
The aim of the CEO Q&A sessions is to give further clarity on information which has been made public already earlier .,0
Finnish electronics manufacturer PKC Group Oyj OMX Helsinki PKC1V said on Wednesday 31 December that it has completed the acquisition of MAN Nutzfahrzeuge AG cable harness business from MAN Star Trucks & Buses Spolka zoo in Poland .,1
Production at the plant will be based on Neste Oil proprietary technology that can use a flexible input of any vegetable oil or animal fat .,0
With the new arrangement customer responsibilities will become mainly regional .,0
In 2007 Huhtamaki will continue to invest in organic growth .,0
Customers include hotels and restaurants as well as wholesalers and some retailers .,0
Last week the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company strategic goal of becoming the world largest stainless steel maker .,1
JVC will stop producing DVD players in Brazil JVC do Brazil a subsidiary of Japan JVC group announced it will stop the production of DVD players in Brazil .,0
The markets expect Heineken to sell Hartwall as a whole or in parts .,0
Possible personnel reductions concern approximately 104 people .,-1
Finnish messaging solutions developer Tecnomen Corporation OMX Helsinki TEM1V said on Thursday 11 December that it has received an expansion order for its Convergent Charging solution in Latin America .,1
