submission_id,submission_title,comment_text,upvotes
17leoks,Thoughts on $AMD?,Right. Wait til it goes up for a while then buy,28
17leoks,Thoughts on $AMD?,I bought a share yesterday.,1
17leoks,Thoughts on $AMD?,Yes and now im unsure if im not too gready,1
17leoks,Thoughts on $AMD?,Fair play,1
17leoks,Thoughts on $AMD?,Short interest in AMD has been less than 3% for most of this year.  Could be wrong but don’t think it’s just short squeeze.,4
17leoks,Thoughts on $AMD?,I believe AMDs PE is in the 30-40 range…,14
17leoks,Thoughts on $AMD?,100%. This stock has no business being at that valuation multiple with 4% growth and reduced 2024 guidance.,-7
17leoks,Thoughts on $AMD?,"Yes, its a simple EMA",1
17leoks,Thoughts on $AMD?,What’s resistant levels? I have fib levels at 107/108,2
17leoks,Thoughts on $AMD?,It's still well below its 52-week high of $132.83.  Maybe it will go back up again?,1
17leoks,Thoughts on $AMD?,TradingView,2
17leoks,Thoughts on $AMD?,"Same here, short from 105.95.",1
17leoks,Thoughts on $AMD?,"sir, we're at the beginning of AI. if think that's all the juice there was to squeeze, I have a bridge to sell you.",17
17leoks,Thoughts on $AMD?,My guy here thinks NVDA is the only GPU manufacturer,2
17leoks,Thoughts on $AMD?,"I agree, take my upvote",0
17leoks,Thoughts on $AMD?,Bought at 5.75 still holding!,13
17leoks,Thoughts on $AMD?,"I think you're right, google's tracker shows a different number, strange.",1
17leoks,Thoughts on $AMD?,">reduced 2024 guidance

wut ? there is no 2024 guidance..

y.o.y growth is at 9%",2
17leoks,Thoughts on $AMD?,Thanks!,1
17leoks,Thoughts on $AMD?,"Yup lol, not sure what this dude is talking about. I’ve actually been slowly buying more and more tech during this downturn",3
17leoks,Thoughts on $AMD?,Go on about this bridge. Can it fit a troll under it comfortably and will kids be able to cross after answering riddles??,2
17leoks,Thoughts on $AMD?,YOY growth is at 4% and the revenue estimates for 2024 were lowered. Did you even look at the earnings release?,1
17leoks,Thoughts on $AMD?,"yes I did. There is no 2024 guidance. She only mentioned an approximate extra 2 billions from MI300 next year

Also..  ""For the fourth quarter of 2023, AMD expects revenue to be approximately $6.1 billion, plus or minus $300 million. At the mid-point of the revenue range, this represents year-over-year growth of approximately 9%""

https://ir.amd.com/",1
17leoks,Thoughts on $AMD?,The YOY growth is literally the first thing in the table once you open up the ER and it says clear as day 4%.,-2
17leoks,Thoughts on $AMD?,think there is some confusion between you two. From end of 3rd quarter 2022 to end of 3rd quarter 2023 the revenue growth was 4% but I think Covid is speak terms of 2022 overall revenue and 2023 overall revenue (with last quarter being what they expect to earn in the growth number),2
